,Predicted
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,0
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,0
537,0
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,1
558,0
559,1
560,0
561,1
562,1
563,0
564,1
565,0
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,0
599,1
