Id,Predicted
0,1
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,1
402,0
403,0
404,0
405,1
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,0
567,0
568,0
569,0
570,1
571,1
572,1
573,1
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,1
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,0
608,1
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,1
619,1
620,0
621,1
622,0
623,0
624,1
625,0
626,0
627,1
628,1
629,1
630,1
631,0
632,1
633,1
634,0
635,0
636,1
637,0
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,1
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,1
675,0
676,1
677,1
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,1
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,1
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,0
713,0
714,1
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,1
729,0
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,0
743,1
744,1
745,1
746,0
747,0
748,1
749,0
750,1
751,0
752,1
753,0
754,1
755,1
756,0
757,1
758,1
759,1
760,0
761,0
762,0
763,1
764,0
765,1
766,1
767,1
768,0
769,0
770,0
771,1
772,1
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,0
782,0
783,1
784,1
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,0
805,0
806,0
807,1
808,0
809,1
810,1
811,0
812,0
813,1
814,1
815,1
816,1
817,0
818,0
819,0
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,0
828,0
829,0
830,0
831,1
832,1
833,1
834,0
835,1
836,0
837,1
838,0
839,0
840,0
841,1
842,1
843,1
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,1
864,0
865,1
866,0
867,0
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,0
881,1
882,0
883,0
884,1
885,0
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,1
894,1
895,1
896,0
897,0
898,0
899,1
900,1
901,0
902,1
903,1
904,0
905,1
906,1
907,0
908,0
909,0
910,1
911,1
912,1
913,1
914,0
915,0
916,1
917,1
918,0
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,1
927,1
928,1
929,1
930,0
931,1
932,0
933,0
934,0
935,1
936,0
937,1
938,0
939,1
940,1
941,1
942,1
943,0
944,1
945,1
946,0
947,0
948,1
949,1
950,0
951,1
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,0
960,0
961,1
962,0
963,0
964,1
965,0
966,0
967,0
968,1
969,0
970,0
971,1
972,0
973,0
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,0
982,0
983,0
984,0
985,1
986,1
987,1
988,1
989,0
990,0
991,1
992,1
993,1
994,1
995,0
996,1
997,1
998,0
999,0
